What is your Academic Class Year?,"What U.S. state, U.S. territory, or country are you from?",What gender do you most closely identify with?,What was your intended concentration prior to coming to Harvard?,What concentration(s) are you or do you intend on pursuing?,What were the top three reasons you chose this intended concentration?,"Which of these activities, if any, did you do in high school?",What were the top three reasons you pursued your extracurriculars in high school?,What are the top three reasons you declared your current concentration at Harvard (if you have)?,"What activities, if any, do you participate in now?",What are the top three reasons you pursued your extracurriculars at Harvard?
2024,Massachusetts,Male,Economics,"Economics, Government","Family pressure, Money, Peers","Journalism/Yearbook, Model UN, Speech and Debate, Volunteering","College Apps, Passion",Passion,"Pre-professional, HSA","Career/Resume, Passion"
2024,NJ,Female,Government,"Computer Science, Government","Passion, To increase chances of acceptance to Harvard, Interest","FBLA/DECA, Volunteering","College Apps, Community, Passion","Harvard's pre-professional pipeline, Passion, Peers","Sports, Volunteering","Career/Resume, Community, Passion"
2024,MA,Male,Math,Applied Mathematics,"Peers, To increase chances of acceptance to Harvard","Music, Sports, STEM","Community, Passion","Harvard's pre-professional pipeline, Money, Peers","Sports, STEM","Community, Passion"
2024,United Kingdom,Male,Computer Science,Computer Science,"Money, Passion, Peers","Sports, STEM, Volunteering","Community, Family Pressure, Passion","Money, Passion, Peers","Sports, STEM, Volunteering","Community, Family pressure, Passion"
2024,Texas,Female,Economics,"Psychology, Social Studies","Family pressure, Peers","Speech and Debate, Volunteering","College Apps, Community, Family Pressure, Passion",Passion,"Journalism/Yearbook, Pre-professional","Career/Resume, Community, Passion"
2024,TX,Male,Economics,Economics,"Family pressure, Money, Passion","Sports, Volunteering","Community, Family Pressure, Passion","Family pressure, Money, Peers","Sports, Volunteering","Career/Resume, Family pressure, Passion"
2024,New York,Male,Chemistry,Chemistry,Passion,"Music, Sports, STEM, Volunteering","College Apps, Community, Passion",Passion,"STEM, Volunteering","Community, Passion"
2024,United States,Female,Applied Math,Computer Science,"Family pressure, Money, Passion","Sports, STEM, Volunteering","College Apps, Community, Passion","Harvard's pre-professional pipeline, Passion, Peers",,
2024,United States,Male,Economics,"Economics, Environmental Science and Public Policy, Music","Family pressure, Money, Passion, Interest, skill","Journalism/Yearbook, Music, Speech and Debate, Sports, Volunteering","College Apps, Community, Passion","Harvard's pre-professional pipeline, Money, Passion, Interest, Skill","Music, Pre-professional, Sports, Volunteering","Career/Resume, Community, Passion"
2024,Michigan,Female,Biology,"Government, Molecular and Cellular Biology","Family pressure, Money","Music, STEM, Volunteering","College Apps, Community, Passion","Money, Passion","Music, Pre-professional, Sports, STEM, Theater and/or Dance, Volunteering","Career/Resume, Clout, Passion"
2024,New York,Female,Environmental Science and Public Policy,Environmental Science and Engineering,Passion,"Journalism/Yearbook, Music, Sports, STEM, Visual Arts, Volunteering","Family Pressure, Passion",Passion,"Music, STEM, Visual Arts",Passion
2024,NY,Male,Chemical and Physical Biology,Molecular and Cellular Biology,"Family pressure, Passion","FBLA/DECA, Journalism/Yearbook, Sports, STEM, Volunteering","Clout, College Apps, Community, Passion","Harvard's pre-professional pipeline, Money, Passion","Journalism/Yearbook, Model UN",Community
2025,United States,Male,Biology,Classics,Passion,Volunteering,"College Apps, Passion",Passion,Volunteering,Passion
2025,CA,Male,Government,Government,"Fame, Money, Passion","FBLA/DECA, Music, Pre-professional, Speech and Debate, Volunteering","College Apps, Community, Passion","Fame, Money, Passion","Journalism/Yearbook, Pre-professional, Volunteering","Career/Resume, Clout, Community, Passion"
2025,South Africa,Male,Applied Mathematics,"Applied Mathematics, Computer Science, Economics, Statistics","Money, Passion, Peers","Speech and Debate, Sports, STEM, Volunteering","Community, Family Pressure, Passion","Money, Passion, Peers","Sports, STEM, Volunteering","Community, Family pressure, Passion"
2025,India,Female,Undecided,"Economics, Mathematics, Statistics",To increase chances of acceptance to Harvard,"Journalism/Yearbook, Music, Speech and Debate, Volunteering","College Apps, Community","Family pressure, Harvard's pre-professional pipeline, Money, Passion","Journalism/Yearbook, Speech and Debate, STEM, Visual Arts, Volunteering","Career/Resume, Clout, Community"
2025,TN,Male,Biomedical engineering,Computer Science,"Money, Passion, Peers","Speech and Debate, Sports, STEM, Volunteering","Clout, College Apps","Money, Passion, Peers",Sports,"Community, Passion"
2025,Ethiopia,Male,Computer Science,"Applied Mathematics, Computer Science, Economics","Money, Passion","STEM, Visual Arts, Volunteering","Community, Passion",,STEM,"Career/Resume, Community, Passion"
2025,Massachusetts,Female,Physics,"Computer Science, Physics",Passion,"Music, Speech and Debate, Sports, STEM, Visual Arts","College Apps, Family Pressure, Passion",N/A have not declared yet,"Pre-professional, Sports","Career/Resume, Passion"
2025,Virginia,Male,Computer Science and English,"Computer Science, English, History and Literature, History","Money, Passion","Sports, STEM, Volunteering","Community, Passion",,"Journalism/Yearbook, Sports",
2025,Canada,Female,Computer Science,Computer Science,"Fame, Family pressure, Money, Passion","Music, Visual Arts, Volunteering","College Apps, Community, Passion",,"Music, Pre-professional, STEM, Visual Arts","Career/Resume, Community, Passion"
2025,Texas,Male,History and Science,Statistics,"Passion, To increase chances of acceptance to Harvard","Music, STEM, Volunteering","College Apps, Community, Passion",,"Journalism/Yearbook, STEM","Career/Resume, Community, Passion"
2025,New York,Female,Undecided,"Applied Mathematics, Statistics",,"Journalism/Yearbook, Model UN, Music, Speech and Debate, Theater and/or Dance","College Apps, Community, Passion",,"Music, STEM, Theater and/or Dance","Career/Resume, Community, Passion"
2025,Florida,Male,Applied Mathematics,Applied Mathematics,"Money, Passion, To increase chances of acceptance to Harvard","FBLA/DECA, Music, Sports, STEM, Volunteering","College Apps, Community, Passion",Haven't declared,"Music, Pre-professional, STEM","Career/Resume, Clout, Passion"
,,,Classics,,"Passion, To increase chances of acceptance to Harvard",,,,,"Career/Resume, Community, Family pressure"
,Montana,Female,Government,"History, Studies of Women, Gender, and Sexuality","Fame, Passion, Peers","Journalism/Yearbook, Speech and Debate, Theater and/or Dance, Volunteering","College Apps, Community, Passion","Passion, Peers",,
